game_week,user_id,username,gw_points,gw_good,gw_exact,gw_calculated,gw_rank
1,user_1387094,LePetitBourbon,1180,16,3,,1
1,user_127563,Alexciter,1062,13,5,,2
1,user_7477732,Djimitraillette,1060,10,5,,3
1,user_2834762,CamilleC15,794,10,3,,4
1,user_8528276,Gulie_lovelefoot,753,13,1,,5
1,user_8524032,UJTHEGOAT,752,13,0,,6
1,user_78584,ThierryPainDeMie,741,11,1,,7
1,user_3737107,Gael_Monfils,722,12,3,,8
1,user_134645,Tristan85110,674,10,3,,9
1,user_3663301,Jeandispasplus,595,10,3,,10
1,user_498143,remikado,594,10,0,,11
1,user_10266472,Nanou-lege,590,8,1,,12
1,user_7780698,TestMatchNul,568,6,1,,13
1,user_8510019,La-doune,556,10,1,,14
1,user_8353744,Manongtr,528,8,2,,15
1,user_1406528,Samuel#2BXK1,514,11,0,,16
1,user_8379079,CarlaLege,514,11,0,,17
2,user_8353744,Manongtr,1315,18,5,,1
2,user_3737107,Gael_Monfils,1236,18,5,,2
2,user_2834762,CamilleC15,1197,16,5,,3
2,user_8379079,CarlaLege,1186,18,3,,4
2,user_8524032,UJTHEGOAT,1160,18,3,,5
2,user_7477732,Djimitraillette,1133,15,2,,6
2,user_127563,Alexciter,1122,14,4,,7
2,user_498143,remikado,1035,15,4,,8
2,user_3663301,Jeandispasplus,1030,15,3,,9
2,user_1387094,LePetitBourbon,1017,16,4,,10
2,user_78584,ThierryPainDeMie,1010,15,2,,11
2,user_134645,Tristan85110,992,16,3,,12
2,user_8528276,Gulie_lovelefoot,961,17,0,,13
2,user_8510019,La-doune,929,16,2,,14
2,user_7780698,TestMatchNul,900,6,4,,15
2,user_10266472,Nanou-lege,862,13,2,,16
2,user_1406528,Samuel#2BXK1,726,12,3,,17
3,user_8528276,Gulie_lovelefoot,1389,19,3,,1
3,user_134645,Tristan85110,1333,18,5,,2
3,user_1387094,LePetitBourbon,1257,16,2,,3
3,user_127563,Alexciter,1229,17,3,,4
3,user_8379079,CarlaLege,1150,17,2,,5
3,user_10266472,Nanou-lege,1027,14,1,,6
3,user_2834762,CamilleC15,1017,15,4,,7
3,user_3663301,Jeandispasplus,996,13,3,,8
3,user_8524032,UJTHEGOAT,987,16,2,,9
3,user_78584,ThierryPainDeMie,924,15,0,,10
3,user_1406528,Samuel#2BXK1,901,14,2,,11
3,user_8510019,La-doune,896,13,3,,12
3,user_8353744,Manongtr,878,14,1,,13
3,user_7780698,TestMatchNul,804,6,3,,14
3,user_3737107,Gael_Monfils,789,14,1,,15
3,user_498143,remikado,777,12,2,,16
3,user_7477732,Djimitraillette,685,10,2,,17
4,user_8524032,UJTHEGOAT,979,13,6,,1
4,user_8528276,Gulie_lovelefoot,977,13,7,,2
4,user_78584,ThierryPainDeMie,855,11,2,,3
4,user_1406528,Samuel#2BXK1,845,13,3,,4
4,user_3737107,Gael_Monfils,817,11,5,,5
4,user_134645,Tristan85110,783,13,1,,6
4,user_8510019,La-doune,754,11,3,,7
4,user_3663301,Jeandispasplus,708,10,2,,8
4,user_8379079,CarlaLege,683,11,1,,9
4,user_127563,Alexciter,647,9,3,,10
4,user_7477732,Djimitraillette,644,10,3,,11
4,user_1387094,LePetitBourbon,588,10,2,,12
4,user_2834762,CamilleC15,581,10,1,,13
4,user_10266472,Nanou-lege,581,10,1,,14
4,user_8353744,Manongtr,503,8,2,,15
4,user_498143,remikado,486,8,2,,16
4,user_7780698,TestMatchNul,360,3,0,,17
5,user_3737107,Gael_Monfils,584,7,1,,1
5,user_11640165,Olie10,461,6,1,,2
5,user_8524032,UJTHEGOAT,454,6,1,,3
5,user_2834762,CamilleC15,404,6,0,,4
5,user_8510019,La-doune,356,5,0,,5
5,user_7477732,Djimitraillette,339,4,0,,6
